path,label
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010673.jpg,Hyundai Veloster Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000265.jpg,Acura TL Type-S 2008
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/001545.jpg,Audi TT Hatchback 2011
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008854.jpg,Ford Expedition EL SUV 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008016.jpg,Eagle Talon Hatchback 1998
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011930.jpg,Jeep Patriot SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/001368.jpg,Audi 100 Sedan 1994
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003920.jpg,Buick Verano Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011576.jpg,Infiniti G Coupe IPL 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003337.jpg,Bentley Continental GT Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002573.jpg,BMW X5 SUV 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005018.jpg,Chevrolet Tahoe Hybrid SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013248.jpg,Mercedes-Benz C-Class Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013852.jpg,Nissan NV Passenger Van 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006661.jpg,Daewoo Nubira Wagon 2002
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007777.jpg,Dodge Durango SUV 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007879.jpg,Dodge Charger SRT-8 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015675.jpg,Volkswagen Golf Hatchback 1991
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014533.jpg,Rolls-Royce Phantom Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006128.jpg,Chrysler Aspen SUV 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014067.jpg,Nissan 240SX Coupe 1998
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/001577.jpg,Audi S6 Sedan 2011
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003704.jpg,Bugatti Veyron 16.4 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000803.jpg,Aston Martin Virage Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003545.jpg,Bentley Continental Flying Spur Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015521.jpg,Toyota 4Runner SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000506.jpg,Acura ZDX Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000910.jpg,Audi RS 4 Convertible 2008
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012132.jpg,Jeep Grand Cherokee SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010781.jpg,Hyundai Santa Fe SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006221.jpg,Chrysler Sebring Convertible 2010
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000035.jpg,AM General Hummer SUV 2000
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009955.jpg,GMC Canyon Extended Cab 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000443.jpg,Acura Integra Type R 2001
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012343.jpg,Lamborghini Reventon Coupe 2008
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005101.jpg,Chevrolet Sonic Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009670.jpg,GMC Terrain SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005186.jpg,Chevrolet Express Cargo Van 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002008.jpg,Audi TT RS Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011142.jpg,Hyundai Elantra Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008552.jpg,Fisker Karma Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013806.jpg,Nissan Leaf Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011402.jpg,Hyundai Elantra Touring Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014593.jpg,Scion xD Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005732.jpg,Chevrolet Express Van 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/016040.jpg,Volvo XC90 SUV 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/001760.jpg,Audi S5 Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013350.jpg,Mercedes-Benz SL-Class Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/001392.jpg,Audi 100 Wagon 1994
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/001924.jpg,Audi S4 Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003881.jpg,Buick Rainier SUV 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000831.jpg,Aston Martin Virage Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009396.jpg,Ford Focus Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015975.jpg,Volvo 240 Sedan 1993
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008211.jpg,Ferrari FF Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006545.jpg,Chrysler PT Cruiser Convertible 2008
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012449.jpg,Lamborghini Gallardo LP 570-4 Superleggera 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008413.jpg,Ferrari 458 Italia Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004927.jpg,Chevrolet Impala Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011297.jpg,Hyundai Sonata Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004055.jpg,Cadillac CTS-V Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/001155.jpg,Audi R8 Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006959.jpg,Dodge Caravan Minivan 1997
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004868.jpg,Chevrolet HHR SS 2010
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007185.jpg,Dodge Sprinter Cargo Van 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006000.jpg,Chevrolet Silverado 1500 Extended Cab 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011195.jpg,Hyundai Accent Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010928.jpg,Hyundai Veracruz SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007439.jpg,Dodge Dakota Club Cab 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000598.jpg,Aston Martin V8 Vantage Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008160.jpg,FIAT 500 Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014683.jpg,Spyker C8 Convertible 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015346.jpg,Toyota Camry Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010289.jpg,HUMMER H2 SUT Crew Cab 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010870.jpg,Hyundai Tucson SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/001061.jpg,Audi TTS Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006453.jpg,Chrysler Crossfire Convertible 2008
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013990.jpg,Nissan Juke Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005854.jpg,Chevrolet Malibu Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002673.jpg,BMW X6 SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012741.jpg,Land Rover LR2 SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009142.jpg,Ford GT Coupe 2006
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005459.jpg,Chevrolet TrailBlazer SS 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015171.jpg,Suzuki SX4 Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013582.jpg,Mercedes-Benz Sprinter Van 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/001827.jpg,Audi S4 Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015785.jpg,Volkswagen Beetle Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003015.jpg,BMW X3 SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015912.jpg,Volvo C30 Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006841.jpg,Dodge Caliber Wagon 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002281.jpg,BMW 3 Series Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009556.jpg,Ford Fiesta Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005420.jpg,Chevrolet Malibu Hybrid Sedan 2010
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004023.jpg,Buick Enclave SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000996.jpg,Audi A5 Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007020.jpg,Dodge Ram Pickup 3500 Crew Cab 2010
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014795.jpg,Spyker C8 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012615.jpg,Land Rover Range Rover SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009279.jpg,Ford F-150 Regular Cab 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013127.jpg,McLaren MP4-12C Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015304.jpg,Toyota Sequoia SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014219.jpg,Porsche Panamera Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004683.jpg,Chevrolet Traverse SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002446.jpg,BMW 6 Series Convertible 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014317.jpg,Ram C/V Cargo Van Minivan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008658.jpg,Ford F-450 Super Duty Crew Cab 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007365.jpg,Dodge Dakota Crew Cab 2010
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009828.jpg,GMC Yukon Hybrid SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006736.jpg,Dodge Caliber Wagon 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010628.jpg,Honda Accord Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010543.jpg,Honda Accord Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/016162.jpg,smart fortwo Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003317.jpg,Bentley Mulsanne Sedan 2011
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006404.jpg,Chrysler 300 SRT-8 2010
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003432.jpg,Bentley Continental GT Coupe 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011710.jpg,Isuzu Ascender SUV 2008
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011508.jpg,Hyundai Azera Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002059.jpg,BMW ActiveHybrid 5 Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011981.jpg,Jeep Wrangler SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005796.jpg,Chevrolet Monte Carlo Coupe 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007870.jpg,Dodge Charger Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009483.jpg,Ford E-Series Wagon Van 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005279.jpg,Chevrolet Cobalt SS 2010
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012069.jpg,Jeep Liberty SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007248.jpg,Dodge Journey SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007491.jpg,Dodge Magnum Wagon 2008
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002708.jpg,BMW M3 Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014110.jpg,Plymouth Neon Coupe 1999
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006061.jpg,Chevrolet Silverado 1500 Regular Cab 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/001250.jpg,Audi V8 Sedan 1994
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008790.jpg,Ford Freestar Minivan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005231.jpg,Chevrolet Avalanche Crew Cab 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011799.jpg,Jaguar XK XKR 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002871.jpg,BMW M6 Convertible 2010
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011248.jpg,Hyundai Genesis Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015422.jpg,Toyota Corolla Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008091.jpg,FIAT 500 Abarth 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010217.jpg,HUMMER H3T Crew Cab 2010
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012522.jpg,Lamborghini Diablo Coupe 2001
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004514.jpg,Chevrolet Corvette ZR1 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004210.jpg,Cadillac SRX SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003123.jpg,Bentley Continental Supersports Conv. Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012937.jpg,Maybach Landaulet Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007957.jpg,Dodge Charger SRT-8 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015665.jpg,Volkswagen Golf Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008610.jpg,Ford F-450 Super Duty Crew Cab 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005935.jpg,Chevrolet Silverado 1500 Extended Cab 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/001619.jpg,Audi S6 Sedan 2011
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010237.jpg,HUMMER H3T Crew Cab 2010
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011259.jpg,Hyundai Genesis Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008115.jpg,FIAT 500 Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010498.jpg,Honda Odyssey Minivan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009933.jpg,GMC Acadia SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009817.jpg,GMC Yukon Hybrid SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004690.jpg,Chevrolet Traverse SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005869.jpg,Chevrolet Malibu Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002382.jpg,BMW 3 Series Wagon 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002449.jpg,BMW 6 Series Convertible 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004975.jpg,Chevrolet Tahoe Hybrid SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009616.jpg,Ford Fiesta Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003725.jpg,Bugatti Veyron 16.4 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013038.jpg,Mazda Tribute SUV 2011
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003615.jpg,Bugatti Veyron 16.4 Convertible 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008887.jpg,Ford Expedition EL SUV 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013404.jpg,Mercedes-Benz SL-Class Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005358.jpg,Chevrolet Cobalt SS 2010
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011175.jpg,Hyundai Accent Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015764.jpg,Volkswagen Beetle Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006020.jpg,Chevrolet Silverado 1500 Regular Cab 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010982.jpg,Hyundai Veracruz SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015479.jpg,Toyota Corolla Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014568.jpg,Rolls-Royce Phantom Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012748.jpg,Land Rover LR2 SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006538.jpg,Chrysler PT Cruiser Convertible 2008
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/016052.jpg,Volvo XC90 SUV 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005512.jpg,Chevrolet TrailBlazer SS 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007803.jpg,Dodge Charger Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000205.jpg,Acura TL Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010002.jpg,GMC Canyon Extended Cab 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011796.jpg,Jaguar XK XKR 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012378.jpg,Lamborghini Aventador Coupe 2012
